word,reading_hira
為る,する
居る,いる
有る,ある
言う,いう
無い,ない
成る,なる
御,お
其の,その
其れ,それ
良い,よい
人,ひと
何,なに
来る,こい
物,もの
見る,みる
行く,いく
方,ほう
時,とき
私鱻代名詞,わたくし
出来る,できる
此の,この
中,ちゅう
所,ところ
分かる,わかる
自分,じぶん
此れ,これ
今,いま
日,ひ
後,あと
遣る,やる
出る,でる
前,まえ
聞く,きく
目,め
達,たち
年,ねん
又,また
下さる,くださる
知る,しる
入る,はいる
持つ,もつ
使う,つかう
内,うち
上,うえ
等,とう
度,ど
貴方,あなた
取る,とる
置く,おく
置く／おく,おく
出す,だす
家,いえ
同じ,おなじ
手,て
話,はなし
時間,じかん
男,おとこ
何処,どこ
其処,そこ
良く,よく
皆,みな
誰,だれ
何時,いつ
私,わたし
顔,かお
未だ,まだ
多い,おおい
車,しゃ
此処,ここ
子供,こども
子ども,こども
掛ける,かける
然し,しかし
月,げつ
教える,おしえる
入れる,いれる
本当,ほんとう
少し,すこし
円,えん
女,おんな
違う,ちがう
作る,つくる
先,さき
上げる,あげる
二人,ふたり
悪い,わるい
声,こえ
書く,かく
余り,あまり
歳,さい
一人,ひとり
分,ふん
仕事,しごと
直ぐ,すぐ
言葉,ことば
掛かる,かかる
下,した
買う,かう
電話,でんわ
一寸,ちょっと
母,はは
何故,なぜ
好き,すき
店,みせ
頭,あたま
頃,ころ
高い,たかい
意味,いみ
質問,しつもん
何の,どの
食べる,たべる
問題,もんだい
口,くち
体,たい
会社,かいしゃ
本,ほん
今日,きょう
一緒,いっしょ
大きい,おおきい
一番,いちばん
切る,きる
話す,はなす
回,かい
何方,どちら
飲む,のむ
父,ちち
欲しい,ほしい
早い,はやい
帰る,かえる
先生,せんせい
次,つぎ
部屋,へや
立つ,たつ
結婚,けっこん
長い,ながい
何れ,いずれ
呼ぶ,よぶ
待つ,まつ
会う,あう
甘い,あまい
箇月,かげつ
カ月,かげつ
風,かぜ
此方,こちら
外,そと
迚も,とても
開く,ひらく
名前,なまえ
読む,よむ
乗る,のる
色々,いろいろ
死ぬ,しぬ
強い,つよい
水,みず
夜,よる
初めて,はじめて
側,がわ
少ない,すくない
嫌,いや
歩く,あるく
国,くに
大きな,おおきな
屋,や
若い,わかい
色,いろ
答える,こたえる
見せる,みせる
終わる,おわる
道,みち
忘れる,わすれる
足,あし
売る,うる
沢山,たくさん
走る,はしる
友達,ともだち
幾ら,いくら
学校,がっこう
引く,ひく
大学,だいがく
困る,こまる
近く,ちかく
住む,すむ
大変,たいへん
小さい,ちいさい
朝,ちょう
開ける,あける
覚える,おぼえる
山,やま
働く,はたらく
毎日,まいにち
新しい,あたらしい
病院,びょういん
町,ちょう
奇麗,きれい
小さな,ちいさな
大丈夫,だいじょうぶ
写真,しゃしん
寝る,ねる
家族,かぞく
結構,けっこう
近い,ちかい
枚,まい
安い,やすい
面白い,おもしろい
耳,みみ
多分,たぶん
生まれる,うまれる
座る,すわる
犬,いぬ
難しい,むずかしい
木,き
消える,きえる
酒,さけ
美味しい,おいしい
白い,しろい
幾,いく
着る,きる
遊ぶ,あそぶ
海,うみ
起きる,おきる
駅,えき
週間,しゅうかん
頼む,たのむ
兄,あに
明日,あす
番,ばん
押す,おす
辛い,つらい
楽しい,たのしい
可愛い,かわいい
低い,ひくい
横,よこ
軽い,かるい
全部,ぜんぶ
階,かい
始まる,はじまる
語,ご
半,はん
勉強,べんきょう
旅行,りょこう
料理,りょうり
女の子,おんなのこ
昨日,きのう
台,だい
窓,まど
張る,はる
張る／貼る,はる
猫,ねこ
痛い,いたい
右,みぎ
花,はな
返す,かえす
歯,は
新聞,しんぶん
伯父,おじ
叔父,おじ
重い,おもい
川,かわ
姉,あね
遅い,おそい
後ろ,うしろ
後,うしろ
空,そら
映画,えいが
番号,ばんごう
紙,かみ
渡る,わたる
古い,ふるい
広い,ひろい
薬,くすり
服,ふく
止まる,とまる
隣り,となり
両親,りょうしん
夏,なつ
英語,えいご
個,こ
飛ぶ,とぶ
渡す,わたす
大人,おとな
病気,びょうき
歌,うた
元気,げんき
今年,ことし
赤い,あかい
半分,はんぶん
有名,ゆうめい
出掛ける,でかける
出かける,でかける
婆,ばあ
向こう,むこう
洗う,あらう
雪,ゆき
並ぶ,ならぶ
消す,けす
短い,みじかい
大切,たいせつ
疲れる,つかれる
降りる,おりる
左,ひだり
丁度,ちょうど
学生,がくせい
時々,ときどき
黒い,くろい
要る,いる
有り難う,ありがとう
鼻,はな
村,むら
過ぎ,すぎ
明るい,あかるい
薄い,うすい
嫌い,きらい
箱,はこ
雨,あめ
静か,しずか
黒,くろ
銀行,ぎんこう
借りる,かりる
家庭,かてい
手紙,てがみ
弱い,よわい
椅子,いす
其方,そちら
背,せ
暗い,くらい
魚,さかな
爺,じい
電車,でんしゃ
医者,いしゃ
伯母,おば
遠い,とおい
冷たい,つめたい
絵,え
歌う,うたう
弟,おとうと
宜しい,よろしい
妹,いもうと
午後,ごご
狭い,せまい
寒い,さむい
御免,ごめん
白,しら
北,きた
春,はる
忙しい,いそがしい
風呂,ふろ
外国,がいこく
雑誌,ざっし
辺,へん
吸う,すう
履く,はく
休む,やすむ
庭,にわ
玄関,げんかん
男の子,おとこのこ
冬,ふゆ
御腹,おなか
音楽,おんがく
兄弟,きょうだい
動物,どうぶつ
貸す,かす
昼,ひる
着く,つく
細い,ほそい
肉,にく
建物,たてもの
掃除,そうじ
電気,でんき
橋,はし
秋,あき
御飯,ごはん
ご飯,ごはん
暇,ひま
階段,かいだん
大好き,だいすき
熱い,あつい
鳥,とり
赤,あか
被る,こうむる
午前,ごぜん
鍵,かぎ
荷物,にもつ
洗濯,せんたく
東,ひがし
時計,とけい
杯,はい
匹,ひき
一日,ついたち
立派,りっぱ
暑い,あつい
公園,こうえん
机,つくえ
便利,べんり
下手,へた
門,もん
西,にし
太い,ふとい
文章,ぶんしょう
段々,だんだん
夕方,ゆうがた
戸,と
卵,たまご
彼処,かしこ
撮る,とる
上手,じょうず
菓子,かし
緑,みどり
買い物,かいもの
青い,あおい
南,みなみ
降る,ふる
嫌う,きらう
初め,はじめ
靴,くつ
入り口,いりぐち
廊下,ろうか
練習,れんしゅう
並べる,ならべる
速い,はやい
晩,ばん
彼方,かなた
眼鏡,めがね
不味い,まずい
勤める,つとめる
日曜,にちよう
去年,きょねん
吹く,ふく
曲がる,まがる
浴びる,あびる
食べ物,たべもの
青,あお
真っ直ぐ,まっすぐ
汚い,きたない
教室,きょうしつ
角,かく
風邪,かぜ
脱ぐ,ぬぐ
丸い,まるい
危ない,あぶない
登る,のぼる
上る,のぼる
無くす,なくす
散歩,さんぽ
皿,さら
大勢,おおぜい
地図,ちず
土曜,どよう
毎年,まいとし
野菜,やさい
洋服,ようふく
厚い,あつい
生徒,せいと
台所,だいどころ
泳ぐ,およぐ
池,いけ
毎月,まいつき
差す,さす
昨夜,さくや
弁当,べんとう
天気,てんき
来年,らいねん
漢字,かんじ
今朝,けさ
暖かい,あたたかい
磨く,みがく
弾く,はじく
封筒,ふうとう
財布,さいふ
閉める,しめる
帽子,ぼうし
塩,しお
喫茶,きっさ
習う,ならう
咲く,さく
牛乳,ぎゅうにゅう
夏休み,なつやすみ
砂糖,さとう
傘,かさ
冊,さつ
授業,じゅぎょう
醤油,しょうゆ
黄色い,きいろい
葉書,はがき
締める,しめる
箸,はし
警官,けいかん
月曜,げつよう
鞄,かばん
食堂,しょくどう
涼しい,すずしい
黄色,きいろ
石鹸,せっけん
晴れる,はれる
飲み物,のみもの
鳴く,なく
茶色,ちゃいろ
金曜,きんよう
切符,きっぷ
出口,でぐち
飴,あめ
今日は,こんにちは
御早う,おはよう
今月,こんげつ
上着,うわぎ
辞書,じしょ
毎晩,まいばん
切手,きって
縦,たて
茶碗,ちゃわん
毎朝,まいあさ
毎週,まいしゅう
靴下,くつした
来週,らいしゅう
閉まる,しまる
賑やか,にぎやか
曇る,くもる
今晩,こんばん
宿題,しゅくだい
先週,せんしゅう
果物,くだもの
片仮名,かたかな
夕飯,ゆうはん
紅茶,こうちゃ
来月,らいげつ
鉛筆,えんぴつ
水曜,すいよう
火曜,かよう
先月,せんげつ
丈夫,じょうぶ
灰皿,はいざら
今週,こんしゅう
平仮名,ひらがな
背広,せびろ
木曜,もくよう
交番,こうばん
患う,わずらう
今晩は,こんばんは
手洗い,てあらい
牛肉,ぎゅうにく
点ける,つける
一昨日,おととい
曇り,くもり
作文,さくぶん
豚肉,ぶたにく
本棚,ほんだな
晩御飯,ばんごはん
温い,ぬるい
花瓶,かびん
八百屋,やおや
御巡り,おまわり
お回り,おまわり
易しい,やさしい
一昨年,おととし
鳥肉,とりにく
朝御飯,あさごはん
朝ご飯,あさごはん
字引き,じびき
字引,じびき
昼御飯,ひるごはん
事,こと
様,よう
思う,おもう
仕舞う,しまう
彼,かれ
気,き
呉れる,くれる
為,ため
考える,かんがえる
場合,ばあい
貰う,もらう
訳,わけ
間,あいだ
侭,まま
